average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
930.93        	46.753  	45.322  	45.425  	46768.32      	47.034  	45.482  	46.366  	0.00          	0.000   	0.000   	0.000   	214.72        	46.749  	45.319  	45.410  	SlideEditing_27
695.92        	42.530  	42.561  	43.053  	34908.48      	42.870  	42.428  	43.796  	0.00          	0.000   	0.000   	0.000   	161.35        	42.525  	42.563  	43.041  	SlideEditing_32
510.64        	37.968  	38.473  	39.410  	25788.48      	38.347  	38.703  	40.225  	0.00          	0.000   	0.000   	0.000   	115.67        	37.962  	38.470  	39.398  	SlideEditing_37
925.56        	52.516  	53.409  	54.522  	25539.36      	50.313  	49.697  	51.254  	0.00          	0.000   	0.000   	0.000   	540.97        	52.550  	53.467  	54.573  	SlideShow_22
569.47        	48.480  	50.168  	51.517  	17245.92      	46.755  	47.529  	48.810  	0.00          	0.000   	0.000   	0.000   	308.90        	48.507  	50.209  	51.559  	SlideShow_27
377.19        	44.930  	47.153  	48.845  	12665.76      	43.432  	45.437  	46.879  	0.00          	0.000   	0.000   	0.000   	185.18        	44.953  	47.180  	48.876  	SlideShow_32
262.08        	41.536  	44.254  	46.734  	9324.96       	40.041  	43.041  	44.307  	0.00          	0.000   	0.000   	0.000   	120.47        	41.559  	44.273  	46.772  	SlideShow_37
2888.17       	41.823  	44.346  	45.140  	29984.64      	45.080  	46.575  	48.030  	0.00          	0.000   	0.000   	0.000   	2464.79       	41.772  	44.311  	45.095  	BasketballDrillText_22
1372.40       	38.792  	42.016  	42.375  	16624.80      	41.685  	43.928  	45.011  	0.00          	0.000   	0.000   	0.000   	1134.08       	38.747  	41.986  	42.334  	BasketballDrillText_27
697.97        	35.922  	39.849  	40.105  	9225.60       	38.546  	41.601  	42.687  	0.00          	0.000   	0.000   	0.000   	564.73        	35.881  	39.822  	40.065  	BasketballDrillText_32
