average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
5570.54       	40.027  	42.733  	43.024  	84796.32      	43.457  	44.786  	45.212  	0.00          	0.000   	0.000   	0.000   	4332.64       	39.974  	42.701  	42.990  	ArenaOfValor_27
2655.35       	37.215  	40.508  	40.691  	49724.64      	40.189  	42.255  	42.427  	0.00          	0.000   	0.000   	0.000   	1919.89       	37.169  	40.481  	40.663  	ArenaOfValor_32
1351.94       	34.662  	38.529  	38.479  	28154.88      	37.084  	39.602  	39.412  	0.00          	0.000   	0.000   	0.000   	933.14        	34.624  	38.512  	38.465  	ArenaOfValor_37
1288.53       	50.761  	48.984  	49.142  	63852.48      	51.087  	49.763  	50.252  	0.00          	0.000   	0.000   	0.000   	310.97        	50.756  	48.972  	49.124  	SlideEditing_22
928.76        	46.755  	45.308  	45.383  	46768.32      	47.034  	45.482  	46.366  	0.00          	0.000   	0.000   	0.000   	212.52        	46.751  	45.305  	45.368  	SlideEditing_27
694.17        	42.534  	42.590  	43.051  	34908.48      	42.870  	42.428  	43.796  	0.00          	0.000   	0.000   	0.000   	159.57        	42.529  	42.592  	43.039  	SlideEditing_32
511.86        	37.968  	38.468  	39.400  	25788.48      	38.347  	38.703  	40.225  	0.00          	0.000   	0.000   	0.000   	116.92        	37.962  	38.464  	39.388  	SlideEditing_37
925.37        	52.531  	53.353  	54.546  	25539.36      	50.313  	49.697  	51.254  	0.00          	0.000   	0.000   	0.000   	540.78        	52.565  	53.410  	54.598  	SlideShow_22
566.15        	48.447  	50.147  	51.603  	17245.92      	46.755  	47.529  	48.810  	0.00          	0.000   	0.000   	0.000   	305.53        	48.473  	50.188  	51.647  	SlideShow_27
376.33        	44.929  	47.338  	49.223  	12665.76      	43.432  	45.437  	46.879  	0.00          	0.000   	0.000   	0.000   	184.31        	44.952  	47.368  	49.260  	SlideShow_32
261.19        	41.542  	44.455  	46.529  	9324.96       	40.041  	43.041  	44.307  	0.00          	0.000   	0.000   	0.000   	119.57        	41.565  	44.477  	46.564  	SlideShow_37
2888.99       	41.819  	44.353  	45.142  	29984.64      	45.080  	46.575  	48.030  	0.00          	0.000   	0.000   	0.000   	2465.62       	41.768  	44.318  	45.096  	BasketballDrillText_22
1371.04       	38.795  	42.021  	42.340  	16624.80      	41.685  	43.928  	45.011  	0.00          	0.000   	0.000   	0.000   	1132.69       	38.750  	41.991  	42.298  	BasketballDrillText_27
696.42        	35.916  	39.901  	40.081  	9225.60       	38.546  	41.601  	42.687  	0.00          	0.000   	0.000   	0.000   	563.15        	35.875  	39.875  	40.041  	BasketballDrillText_32
372.89        	33.303  	37.794  	37.770  	5102.40       	35.680  	38.938  	39.559  	0.00          	0.000   	0.000   	0.000   	298.99        	33.266  	37.776  	37.742  	BasketballDrillText_37
8184.62       	40.302  	44.549  	45.525  	80059.68      	42.172  	45.475  	46.310  	0.00          	0.000   	0.000   	0.000   	7061.57       	40.273  	44.535  	45.513  	MarketPlace_22
3604.11       	39.031  	43.560  	44.590  	43049.28      	40.528  	44.074  	45.067  	0.00          	0.000   	0.000   	0.000   	2987.78       	39.008  	43.552  	44.583  	MarketPlace_27
1695.62       	37.251  	42.442  	43.386  	24134.88      	38.836  	42.885  	43.759  	0.00          	0.000   	0.000   	0.000   	1345.01       	37.226  	42.435  	43.380  	MarketPlace_32
843.46        	35.225  	41.152  	42.229  	12949.92      	36.789  	41.043  	42.098  	0.00          	0.000   	0.000   	0.000   	654.30        	35.201  	41.153  	42.232  	MarketPlace_37
