average                                             I frame                                             P frame                                             B frame
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V) 	bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
5341.68       	35.506  	38.565  	39.792  	22491.84      	40.059  	40.915  	42.088  	2891.66       	34.856  	38.229  	39.464  	0.00          	0.000   	0.000   	0.000   	RaceHorsesC_27
2654.70       	32.424  	36.824  	38.164  	13264.80      	36.410  	38.147  	39.819  	1138.97       	31.855  	36.635  	37.927  	0.00          	0.000   	0.000   	0.000   	RaceHorsesC_32
1335.96       	29.807  	35.342  	36.602  	7107.84       	32.727  	36.316  	37.779  	511.41        	29.390  	35.203  	36.434  	0.00          	0.000   	0.000   	0.000   	RaceHorsesC_37
1483.56       	42.462  	44.995  	44.663  	6778.08       	44.541  	46.124  	46.451  	727.20        	42.165  	44.834  	44.407  	0.00          	0.000   	0.000   	0.000   	BasketballPass_22
741.30        	38.457  	42.185  	41.638  	4121.76       	40.983  	43.259  	43.432  	258.38        	38.096  	42.032  	41.382  	0.00          	0.000   	0.000   	0.000   	BasketballPass_27
391.32        	35.111  	39.832  	39.317  	2356.32       	37.444  	40.394  	40.446  	110.61        	34.777  	39.752  	39.156  	0.00          	0.000   	0.000   	0.000   	BasketballPass_32
204.48        	32.246  	37.876  	37.380  	1280.16       	34.138  	38.281  	38.382  	50.81         	31.975  	37.818  	37.237  	0.00          	0.000   	0.000   	0.000   	BasketballPass_37
2748.36       	39.024  	41.299  	43.311  	12194.88      	42.969  	43.078  	44.830  	1398.86       	38.460  	41.045  	43.094  	0.00          	0.000   	0.000   	0.000   	BlowingBubbles_22
1279.74       	35.352  	38.750  	40.564  	7310.40       	38.785  	40.062  	41.876  	418.22        	34.862  	38.563  	40.376  	0.00          	0.000   	0.000   	0.000   	BlowingBubbles_27
652.98        	32.285  	36.655  	38.335  	4134.24       	35.059  	37.478  	39.320  	155.66        	31.889  	36.538  	38.194  	0.00          	0.000   	0.000   	0.000   	BlowingBubbles_32
331.14        	29.618  	34.816  	36.416  	2162.88       	31.650  	35.268  	37.135  	69.46         	29.328  	34.752  	36.314  	0.00          	0.000   	0.000   	0.000   	BlowingBubbles_37
2794.62       	39.315  	44.117  	45.043  	12860.16      	43.158  	44.791  	45.641  	1356.69       	38.767  	44.021  	44.957  	0.00          	0.000   	0.000   	0.000   	BQSquare_22
1346.40       	35.200  	42.217  	43.038  	8668.80       	38.752  	42.532  	43.351  	300.34        	34.692  	42.172  	42.994  	0.00          	0.000   	0.000   	0.000   	BQSquare_27
762.42        	32.132  	40.087  	40.384  	5433.12       	34.624  	40.256  	40.456  	95.18         	31.776  	40.063  	40.373  	0.00          	0.000   	0.000   	0.000   	BQSquare_32
461.70        	29.470  	38.603  	38.830  	3377.76       	31.088  	38.684  	38.907  	45.12         	29.239  	38.591  	38.819  	0.00          	0.000   	0.000   	0.000   	BQSquare_37
3176.58       	39.751  	41.174  	41.688  	10290.24      	43.733  	43.594  	44.224  	2160.34       	39.183  	40.828  	41.326  	0.00          	0.000   	0.000   	0.000   	RaceHorses_22
1557.06       	35.288  	38.126  	38.784  	6564.96       	39.508  	40.475  	41.412  	841.65        	34.686  	37.791  	38.409  	0.00          	0.000   	0.000   	0.000   	RaceHorses_27
789.72        	31.707  	36.191  	36.635  	3839.52       	35.489  	37.695  	38.331  	354.03        	31.167  	35.976  	36.393  	0.00          	0.000   	0.000   	0.000   	RaceHorses_32
404.82        	28.841  	34.519  	34.855  	2077.44       	31.784  	35.855  	36.089  	165.87        	28.421  	34.328  	34.678  	0.00          	0.000   	0.000   	0.000   	RaceHorses_37
4419.00       	43.131  	47.310  	48.701  	28848.96      	44.895  	47.885  	49.143  	929.01        	42.879  	47.228  	48.637  	0.00          	0.000   	0.000   	0.000   	FourPeople_22
2526.54       	41.356  	45.845  	46.974  	18213.12      	42.660  	46.161  	47.351  	285.60        	41.169  	45.800  	46.920  	0.00          	0.000   	0.000   	0.000   	FourPeople_27
1521.84       	38.970  	43.955  	44.942  	11267.04      	39.972  	44.117  	45.176  	129.67        	38.826  	43.932  	44.909  	0.00          	0.000   	0.000   	0.000   	FourPeople_32
920.22        	36.128  	41.806  	43.080  	6878.40       	36.949  	41.901  	43.240  	69.05         	36.011  	41.792  	43.057  	0.00          	0.000   	0.000   	0.000   	FourPeople_37
3404.22       	43.169  	48.588  	49.235  	19198.08      	44.968  	49.088  	49.674  	1147.95       	42.912  	48.516  	49.172  	0.00          	0.000   	0.000   	0.000   	Johnny_22
1572.18       	41.759  	47.337  	47.844  	11152.80      	43.163  	47.717  	48.173  	203.52        	41.558  	47.282  	47.797  	0.00          	0.000   	0.000   	0.000   	Johnny_27
856.74        	40.077  	45.639  	45.855  	6233.76       	41.056  	45.855  	46.081  	88.59         	39.937  	45.608  	45.823  	0.00          	0.000   	0.000   	0.000   	Johnny_32
487.14        	37.947  	43.270  	44.058  	3549.60       	38.680  	43.405  	44.239  	49.65         	37.842  	43.251  	44.032  	0.00          	0.000   	0.000   	0.000   	Johnny_37
3617.82       	43.689  	47.912  	48.873  	20900.64      	45.399  	48.462  	49.385  	1148.85       	43.444  	47.834  	48.800  	0.00          	0.000   	0.000   	0.000   	KristenAndSara_22
1886.04       	41.951  	46.414  	47.426  	13116.48      	43.487  	46.860  	47.929  	281.69        	41.732  	46.350  	47.355  	0.00          	0.000   	0.000   	0.000   	KristenAndSara_27
1092.66       	39.867  	44.749  	45.473  	7928.16       	41.069  	45.009  	45.754  	116.16        	39.695  	44.712  	45.433  	0.00          	0.000   	0.000   	0.000   	KristenAndSara_32
654.84        	37.355  	42.720  	43.749  	4804.32       	38.311  	42.814  	43.917  	62.06         	37.218  	42.706  	43.725  	0.00          	0.000   	0.000   	0.000   	KristenAndSara_37
27328.98      	43.538  	44.869  	45.226  	111691.20     	45.604  	46.263  	46.807  	15277.23      	43.243  	44.670  	45.000  	0.00          	0.000   	0.000   	0.000   	ArenaOfValor_22
13010.28      	39.659  	41.937  	41.996  	66592.32      	42.025  	43.552  	43.881  	5355.70       	39.321  	41.706  	41.727  	0.00          	0.000   	0.000   	0.000   	ArenaOfValor_27
6637.68       	36.424  	39.803  	39.634  	38013.60      	38.670  	40.955  	40.916  	2155.41       	36.104  	39.639  	39.451  	0.00          	0.000   	0.000   	0.000   	ArenaOfValor_32
3557.40       	33.685  	37.752  	37.385  	21305.28      	35.513  	38.756  	38.431  	1021.99       	33.424  	37.609  	37.236  	0.00          	0.000   	0.000   	0.000   	ArenaOfValor_37
6831.12       	48.764  	46.755  	47.296  	52532.16      	48.721  	46.842  	47.644  	302.40        	48.770  	46.743  	47.247  	0.00          	0.000   	0.000   	0.000   	SlideEditing_22
5035.14       	44.358  	43.501  	44.364  	38938.56      	44.374  	43.215  	44.559  	191.79        	44.356  	43.542  	44.336  	0.00          	0.000   	0.000   	0.000   	SlideEditing_27
3833.10       	40.029  	41.877  	42.700  	29735.04      	40.136  	41.964  	43.155  	132.82        	40.014  	41.864  	42.635  	0.00          	0.000   	0.000   	0.000   	SlideEditing_32
2811.54       	35.433  	38.064  	39.313  	21858.72      	35.665  	38.177  	39.635  	90.51         	35.400  	38.048  	39.267  	0.00          	0.000   	0.000   	0.000   	SlideEditing_37
3453.54       	56.597  	59.094  	60.182  	21708.96      	49.102  	50.658  	51.589  	845.62        	57.667  	60.299  	61.409  	0.00          	0.000   	0.000   	0.000   	SlideShow_22
2258.94       	52.135  	55.585  	56.033  	15226.08      	45.672  	47.828  	48.932  	406.49        	53.059  	56.694  	57.048  	0.00          	0.000   	0.000   	0.000   	SlideShow_27
1612.14       	46.438  	53.321  	55.060  	11146.08      	42.252  	45.170  	46.575  	250.15        	47.037  	54.486  	56.272  	0.00          	0.000   	0.000   	0.000   	SlideShow_32
1167.60       	44.361  	49.778  	50.927  	8213.28       	38.517  	42.510  	43.793  	161.07        	45.196  	50.816  	51.946  	0.00          	0.000   	0.000   	0.000   	SlideShow_37
4669.74       	42.046  	44.176  	45.368  	23457.60      	43.637  	45.062  	46.185  	1985.76       	41.819  	44.050  	45.251  	0.00          	0.000   	0.000   	0.000   	BasketballDrillText_22
2260.80       	38.688  	41.698  	42.778  	12806.88      	40.128  	42.661  	43.841  	754.22        	38.483  	41.560  	42.627  	0.00          	0.000   	0.000   	0.000   	BasketballDrillText_27
1182.66       	35.725  	39.690  	40.446  	7071.36       	37.079  	40.455  	41.174  	341.42        	35.531  	39.581  	40.342  	0.00          	0.000   	0.000   	0.000   	BasketballDrillText_32
647.88        	33.121  	37.573  	38.042  	3999.84       	34.358  	38.227  	38.543  	169.03        	32.944  	37.480  	37.970  	0.00          	0.000   	0.000   	0.000   	BasketballDrillText_37
